arquivo,status,erro,num_acordes,usou_ocr
Vagabundo Confesso.pdf,OK,,42,False
Vai Dar Namoro.pdf,OK,,73,True
Vamos Fugir.pdf,OK,,73,False
Velha Infância.pdf,OK,,60,False
Vem quente que eu estou fervendo.pdf,OK,,53,True
Verdade.pdf,OK,,9,True
Versace On The Floor.pdf,OK,,77,True
Vida Vazia.pdf,OK,,121,True
Vira-Vira.pdf,OK,,68,True
Você Virou Saudade.pdf,OK,,22,False
Você me vira a cabeça.pdf,OK,,67,True
Você É Linda.pdf,OK,,107,False
Vou Deixar.pdf,OK,,110,False
Vá Pro Inferno - Galopeira.pdf,OK,,70,False
Várias Queixas.pdf,OK,,39,False
Wake Me Up When September Ends.pdf,OK,,38,True
Whisky A Go Go.pdf,OK,,28,True
Wish You Were Here.pdf,OK,,25,True
Wonderwall.pdf,OK,,141,False
Xote Das Meninas.pdf,OK,,72,False
Xote Dos Milagres.pdf,OK,,124,False
Xote da Alegria.pdf,OK,,123,False
Yellow.pdf,OK,,59,False
Zóio de Lula.pdf,OK,,108,False
À Sua Maneira.pdf,OK,,195,False
É Preciso Saber Viver.pdf,OK,,100,False
É Tarde Demais.pdf,OK,,60,False
Estranho.pdf,OK,,59,False
Eu Sei De Cor.pdf,OK,,58,False
Feeling Good.pdf,OK,,101,False
Infiel.pdf,OK,,65,False
Leave The Door Open.pdf,OK,,99,False
Leão.pdf,OK,,93,False
Like I'm Gonna Lose You.pdf,OK,,136,False
Locked Out Of Heaven.pdf,OK,,124,False
Love In The Dark.pdf,OK,,136,False
Love Love.pdf,OK,,99,False
Mamma Mia.pdf,OK,,127,False
New Light.pdf,OK,,132,False
O Que Falta Em Você Sou Eu.pdf,OK,,66,False
Rolling In The Deep.pdf,OK,,99,False
Set Fire To The Rain.pdf,OK,,70,False
Someone Like You.pdf,OK,,129,False
Todo Mundo Vai Sofrer.pdf,OK,,69,False
Try.pdf,OK,,70,False
What More Can I Say.pdf,SEM_ACORDES,,0,False
When I Was Your Man.pdf,OK,,99,False
XO.pdf,OK,,78,False
You And I.pdf,OK,,133,False
Arêrê.pdf,OK,,160,False
Bola de Sabão.pdf,OK,,110,False
Crazy in Love.pdf,OK,,90,False
Escrito Nas Estrelas.pdf,OK,,106,False
I Will Survive.pdf,OK,,121,False
I'm With You.pdf,OK,,117,False
Man! I Feel Like a Woman!.pdf,OK,,63,False
Menina Solta.pdf,OK,,58,False
Não Precisa Mudar.pdf,OK,,164,False
Quando a Chuva Passar.pdf,OK,,115,False
Se Eu Não Te Amasse Tanto Assim.pdf,OK,,94,False
Total Eclipse of the Heart.pdf,OK,,59,False
You're Still The One.pdf,OK,,130,False
